:)	estoy feliz
:]	estoy feliz
:-)	estoy feliz
=)	estoy feliz
:-(	estoy triste
:(	estoy triste
:[	estoy triste
=(	estoy triste
:')	estoy feliz
:p	saludo amistoso
:P	saludo amistoso
=P	saludo amistoso
:-p	saludo amistoso
:-P	saludo amistoso
:d	sonrisa
:D	sonrisa
=D	sonrisa
:-D	sonrisa
:o	sorpresa
:O	sorpresa
:-o	sorpresa
:-O	sorpresa
;)	guiño afectuoso
;-)	guiño afectuoso
>:(	estoy enojado
>:-(	estoy enojado
:/	me siento inseguro
:\	me siento inseguro
:-/	me siento inseguro
:-\	me siento inseguro
:'(	estoy llorando
3:)	travesura
3:-)	travesura
O:)	cara angel
O:-)	cara angel
:*	beso
:-*	beso
^_^	felicidad satisfecha
-_-	me parece estupido
>:o	estoy perturbado
>:O	estoy perturbado
>:-o	estoy perturbado
>:-O	estoy perturbado
<3	corazon
:|]	robot
(^^^)	tiburon
$_$	tener dinero
%)	estoy borracho
><	me siento frustrado
>,<	me siento enojado
>.>	sospechoso
>//<	avergonzado
>3	mal pero feliz
</3	corazon roto
<3	amor
<3U	te amo
<4	más que amor
<B	odio
<_<	sarcasmo
(!)	sarcasmo
*<:-)	payaso
*_*	enamorado
+_+	hombre muerto
.-.	hombre triste
/.\	hombre timido
:(:)	cerdo
:(|)	mono
:?	estoy confundido
:@	estoy enojado
:C	muy triste
:L	carcajada
u_u	que mal triste
U_U	que mal triste
*¬*	se me cae la baba
^^ 	ojitos felices
XD	me muero de risa
xd	me muero de risa
X_x	me muero
n_n	que alegria
O.O	¿en serio? o ¿que, no entendi?
=D	uju que bien!
D=	que mal, estoy sorprendido
=O=	que mal, estoy sorprendido
>.>	callate
<.<	no me hables
>o<	grito de horror
>//<	que pena, verguenza
>.<!!	que emocion
=P	te pille
*O*	me deslumbro de sorpresa
xDD	mucha risa
lol	risa a carcajadas
LOL	risa a carcajadas